================================================================
         omega_k [cm^-1]          g_k [cm^-1]               
   -7.213373676657244e-04     5.324076461261914e+03
   -6.557612444146064e-04     5.261028710493134e+03
   -5.961465867257823e-04     5.198727056298629e+03
   -5.419514432170930e-04     5.137162721896519e+03
   -4.926831308081908e-04     5.076327028419635e+03
   -4.478937557849948e-04     5.016211394368827e+03
   -4.071761420399298e-04     4.956807335010672e+03
   -3.701601294720084e-04     4.898106461726034e+03
   -3.365092088958750e-04     4.840100481316285e+03
   -3.059174628681162e-04     4.782781195272430e+03
   -2.781067846201905e-04     4.726140499012320e+03
   -2.528243498155700e-04     4.670170381090476e+03
   -2.298403181470895e-04     4.614862922384460e+03
   -2.089457438799451e-04     4.560210295261496e+03
   -1.899506763452919e-04     4.506204762728503e+03
   -1.726824331162128e-04     4.452838677568463e+03
   -1.569840301676632e-04     4.400104481465693e+03
   -1.427127547491278e-04     4.347994704122247e+03
   -1.297388679961098e-04     4.296501962367700e+03
   -1.179444254860147e-04     4.245618959263844e+03
   -1.072222050162167e-04     4.195338483206241e+03
   -9.747473185683374e-05     4.145653407023848e+03
   -8.861339261688154e-05     4.096556687078129e+03
   -8.055762966804104e-05     4.048041362362738e+03
   -7.323420880262448e-05     4.000100553604871e+03
   -6.657655346808532e-05     3.952727462369066e+03
   -6.052413952565935e-05     3.905915370164363e+03
   -5.502194503094499e-05     3.859657637555460e+03
   -5.001995003442793e-05     3.813947703278503e+03
   -4.547268185468334e-05     3.768779083362077e+03
   -4.133880169037610e-05     3.724145370253811e+03
   -3.758072881298680e-05     3.680040231953089e+03
   -3.416429892383427e-05     3.636457411150192e+03
   -3.105845356954949e-05     3.593390724372188e+03
   -2.823495779250568e-05     3.550834061135794e+03
   -2.566814344939040e-05     3.508781383107590e+03
   -2.333467586445240e-05     3.467226723271566e+03
   -2.121334169608914e-05     3.426164185104376e+03
   -1.928485608828964e-05     3.385587941758273e+03
   -1.753168735376404e-05     3.345492235251962e+03
   -1.593789759497016e-05     3.305871375669378e+03
   -1.448899781413751e-05     3.266719740366499e+03
   -1.317181619510706e-05     3.228031773186236e+03
   -1.197437835954906e-05     3.189801983681459e+03
   -1.088579850897916e-05     3.152024946346134e+03
   -9.896180462954769e-06     3.114695299854644e+03
   -8.996527693798922e-06     3.077807746309243e+03
   -8.178661539985525e-06     3.041357050495672e+03
   -7.435146854671407e-06     3.005338039146882e+03
   -6.759224413452613e-06     2.969745600214861e+03
   -6.144749466870117e-06     2.934574682150547e+03
   -5.586135879051358e-06     2.899820293191738e+03
   -5.078305344657039e-06     2.865477500659027e+03
   -4.616641222469125e-06     2.831541430259603e+03
   -4.196946565925348e-06     2.798007265399027e+03
   -3.815405969059675e-06     2.764870246500761e+03
   -3.468550880993615e-06     2.732125670333468e+03
   -3.153228073655580e-06     2.699768889346068e+03
   -2.866570976071206e-06     2.667795311010388e+03
   -2.605973614627276e-06     2.636200397171379e+03
   -2.369066922402556e-06     2.604979663404865e+03
   -2.153697202195814e-06     2.574128678382740e+03
   -1.957906547460386e-06     2.543643063245455e+03
   -1.779915043153778e-06     2.513518490981903e+03
   -1.618104584691841e-06     2.483750685816430e+03
   -1.471004167907118e-06     2.454335422603057e+03
   -1.337276516283699e-06     2.425268526226743e+03
   -1.215705923897991e-06     2.396545871011672e+03
   -1.105187203546702e-06     2.368163380136431e+03
   -1.004715639590451e-06     2.340117025056088e+03
   -9.133778541752363e-07     2.312402824931017e+03
   -8.303435037974042e-07     2.285016846062432e+03
   -7.548577307263470e-07     2.257955201334571e+03
   -6.862343006615001e-07     2.231214049663418e+03
   -6.238493642387069e-07     2.204789595451925e+03
   -5.671357856723610e-07     2.178678088051636e+03
   -5.155779869755428e-07     2.152875821230674e+03
   -4.687072608874097e-07     2.127379132647970e+03
   -4.260975098981020e-07     2.102184403333712e+03
   -3.873613726350157e-07     2.077288057175906e+03
   -3.521467023957809e-07     2.052686560413028e+03
   -3.201333658146041e-07     2.028376421132608e+03
   -2.910303325589441e-07     2.004354188775791e+03
   -2.645730295992162e-07     1.980616453647721e+03
   -2.405209359994331e-07     1.957159846433712e+03
   -2.186553963632412e-07     1.933981037721125e+03
   -1.987776330575915e-07     1.911076737526938e+03
   -1.807069391433471e-07     1.888443694830837e+03
   -1.642790355849289e-07     1.866078697113892e+03
   -1.493445778045370e-07     1.843978569902629e+03
   -1.357677980041709e-07     1.822140176318542e+03
