================================================================
         omega_k [cm^-1]          g_k [cm^-1]               
   -1.194511312277045e+02     2.732053241079589e+00
   -1.247555545312246e+02     2.713057761976404e+00
   -1.306505131920665e+02     2.692018786585086e+00
   -1.372841597686288e+02     2.668434275101258e+00
   -1.448685044815845e+02     2.641589236841051e+00
   -1.537223709687323e+02     2.610414429357413e+00
   -1.643579178282263e+02     2.573203539998897e+00
   -1.776775825271143e+02     2.526974332166740e+00
   -1.955106110680386e+02     2.465745167961976e+00
   -2.225843691276361e+02     2.374289318540669e+00
   -2.808108204270459e+02     2.184035192782607e+00
    2.656647166478422e-01     3.175325699734555e+00
    8.010228039325497e-01     3.177363675411313e+00
    1.341843823167359e+00     3.179422888489418e+00
    1.888240415087005e+00     3.181503780559130e+00
    2.440328740574560e+00     3.183606807078654e+00
    2.998228628884894e+00     3.185732437960026e+00
    3.562063733752856e+00     3.187881158186243e+00
    4.131961697894732e+00     3.190053468461652e+00
    4.708054326450639e+00     3.192249885897774e+00
    5.290477769957183e+00     3.194470944736908e+00
    5.879372717485927e+00     3.196717197116034e+00
    6.474884600633000e+00     3.198989213873737e+00
    7.077163809099696e+00     3.201287585403091e+00
    7.686365918663663e+00     3.203612922553685e+00
    8.302651932404970e+00     3.205965857586213e+00
    8.926188536123052e+00     3.208347045183364e+00
    9.557148368957918e+00     3.210757163521025e+00
    1.019571031031517e+01     3.213196915404168e+00
    1.084205978428754e+01     3.215667029472172e+00
    1.149638908286940e+01     3.218168261478730e+00
    1.215889770937367e+01     3.220701395651932e+00
    1.282979274358562e+01     3.223267246140646e+00
    1.350928923032587e+01     3.225866658553838e+00
    1.419761059324687e+01     3.228500511600075e+00
    1.489498907585496e+01     3.231169718835162e+00
    1.560166621193661e+01     3.233875230526552e+00
    1.631789332777292e+01     3.236618035644037e+00
    1.704393207875550e+01     3.239399163987099e+00
    1.778005502327085e+01     3.242219688460351e+00
    1.852654623700303e+01     3.245080727509585e+00
    1.928370197111928e+01     3.247983447732238e+00
    2.005183135815532e+01     3.250929066677459e+00
    2.083125716980918e+01     3.253918855852534e+00
    2.162231663129299e+01     3.256954143954198e+00
    2.242536229738491e+01     3.260036320345302e+00
    2.324076299587733e+01     3.263166838799530e+00
    2.406890484474060e+01     3.266347221539336e+00
    2.491019235002399e+01     3.269579063595088e+00
    2.576504959230781e+01     3.272864037516551e+00
    2.663392151041867e+01     3.276203898471424e+00
    2.751727529213489e+01     3.279600489769726e+00
    2.841560188276487e+01     3.283055748857380e+00
    2.932941762379369e+01     3.286571713827667e+00
    3.025926603529189e+01     3.290150530505104e+00
    3.120571975749223e+01     3.293794460163243e+00
    3.216938266890133e+01     3.297505887945622e+00
    3.315089220056492e+01     3.301287332068157e+00
    3.415092186869720e+01     3.305141453891606e+00
    3.517018405087525e+01     3.309071068964640e+00
    3.620943303445919e+01     3.313079159151948e+00
    3.726946836991268e+01     3.317168885977780e+00
    3.835113856636665e+01     3.321343605334049e+00
    3.945534517221728e+01     3.325606883723817e+00
    4.058304728992338e+01     3.329962516236558e+00
    4.173526658165289e+01     3.334414546481443e+00
    4.291309283124253e+01     3.338967288740195e+00
    4.411769013835301e+01     3.343625352642693e+00
    4.535030383305918e+01     3.348393670717955e+00
    4.661226821382625e+01     3.353277529231999e+00
    4.790501522940669e+01     3.358282602794388e+00
    4.923008424629381e+01     3.363414993299805e+00
    5.058913306880070e+01     3.368681273872692e+00
    5.198395040962149e+01     3.374088538606344e+00
    5.341647004618122e+01     3.379644459037716e+00
    5.488878694385622e+01     3.385357348482552e+00
    5.640317568339120e+01     3.391236235580719e+00
    5.796211159932474e+01     3.397290948679935e+00
    5.956829512257718e+01     3.403532213032076e+00
    6.122467992829471e+01     3.409971763208725e+00
    6.293450562586045e+01     3.416622473686985e+00
    6.470133590004282e+01     3.423498511246296e+00
    6.652910323181479e+01     3.430615513697260e+00
    6.842216160972498e+01     3.437990800595662e+00
    7.038534900878348e+01     3.445643623063114e+00
    7.242406189265667e+01     3.453595461756497e+00
    7.454434462718274e+01     3.461870384564837e+00
    7.675299753641283e+01     3.470495478995842e+00
    7.905770846921899e+01     3.479501378776962e+00
    8.146721429528714e+01     3.488922910421097e+00
    8.399150089171762e+01     3.498799894108729e+00
    8.664205318217466e+01     3.509178145288348e+00
    8.943217105690205e+01     3.520110740532914e+00
    9.237737316810701e+01     3.531659635961078e+00
    9.549591966932249e+01     3.543897762991745e+00
    9.880949858933319e+01     3.556911780944075e+00
    1.023441414377628e+02     3.570805750029384e+00
    1.061314665288165e+02     3.585706120506482e+00
    1.102104017090313e+02     3.601768647689261e+00
    1.146296269828010e+02     3.619188199663100e+00
    1.194511312277045e+02     3.638213042823380e+00
    1.247555545312246e+02     3.659166306155725e+00
    1.306505131920665e+02     3.682479439801082e+00
    1.372841597686288e+02     3.708746730736248e+00
    1.448685044815845e+02     3.738819091266967e+00
    1.537223709687323e+02     3.773976859736263e+00
    1.643579178282263e+02     3.816277951138761e+00
    1.776775825271143e+02     3.869350511892079e+00
    1.955106110680386e+02     3.940552618746862e+00
    2.225843691276361e+02     4.048906714879291e+00
    2.808108204270459e+02     4.282546020365052e+00
