================================================================
         omega_k [cm^-1]          g_k [cm^-1]               
   -1.664227101945308e-01     1.081422006839949e+00
   -1.715961066963420e-01     1.081381727883384e+00
   -1.768897193762890e-01     1.081340513468779e+00
   -1.823054289975948e-01     1.081298348989237e+00
   -1.878451326839048e-01     1.081255219712087e+00
   -1.935107440013724e-01     1.081211110778304e+00
   -1.993041930427416e-01     1.081166007201903e+00
   -2.052274265134481e-01     1.081119893869329e+00
   -2.112824078197927e-01     1.081072755538824e+00
   -2.174711171592063e-01     1.081024576839784e+00
   -2.237955516126646e-01     1.080975342272100e+00
   -2.302577252392742e-01     1.080925036205482e+00
   -2.368596691730841e-01     1.080873642878767e+00
   -2.436034317221476e-01     1.080821146399217e+00
   -2.504910784698966e-01     1.080767530741789e+00
   -2.575246923788484e-01     1.080712779748400e+00
   -2.647063738967000e-01     1.080656877127169e+00
   -2.720382410648553e-01     1.080599806451644e+00
   -2.795224296294172e-01     1.080541551160009e+00
   -2.871610931547006e-01     1.080482094554276e+00
   -2.949564031393085e-01     1.080421419799456e+00
   -3.029105491348164e-01     1.080359509922717e+00
   -3.110257388671101e-01     1.080296347812516e+00
   -3.193041983604331e-01     1.080231916217716e+00
   -3.277481720641781e-01     1.080166197746684e+00
   -3.363599229824929e-01     1.080099174866365e+00
   -3.451417328067291e-01     1.080030829901345e+00
   -3.540959020508017e-01     1.079961145032881e+00
   -3.632247501895055e-01     1.079890102297920e+00
   -3.725306157998385e-01     1.079817683588091e+00
   -3.820158567053937e-01     1.079743870648683e+00
   -3.916828501238728e-01     1.079668645077588e+00
   -4.015339928177774e-01     1.079591988324235e+00
   -4.115717012483300e-01     1.079513881688492e+00
   -4.217984117326898e-01     1.079434306319552e+00
   -4.322165806045345e-01     1.079353243214789e+00
   -4.428286843780298e-01     1.079270673218593e+00
   -4.536372199153024e-01     1.079186577021181e+00
   -4.646447045974442e-01     1.079100935157382e+00
   -4.758536764991038e-01     1.079013728005397e+00
   -4.872666945667750e-01     1.078924935785533e+00
   -4.988863388008022e-01     1.078834538558913e+00
   -5.107152104411961e-01     1.078742516226154e+00
   -5.227559321573387e-01     1.078648848526023e+00
   -5.350111482416052e-01     1.078553515034067e+00
   -5.474835248070378e-01     1.078456495161203e+00
   -5.601757499890817e-01     1.078357768152295e+00
   -5.730905341515217e-01     1.078257313084693e+00
   -5.862306100966319e-01     1.078155108866741e+00
   -5.995987332796758e-01     1.078051134236261e+00
   -6.131976820277936e-01     1.077945367759001e+00
   -6.270302577633925e-01     1.077837787827055e+00
   -6.410992852320878e-01     1.077728372657245e+00
   -6.554076127353220e-01     1.077617100289481e+00
   -6.699581123677048e-01     1.077503948585081e+00
   -6.847536802592020e-01     1.077388895225053e+00
   -6.997972368222459e-01     1.077271917708354e+00
   -7.150917270038518e-01     1.077152993350106e+00
   -7.306401205428569e-01     1.077032099279778e+00
   -7.464454122323658e-01     1.076909212439333e+00
   -7.625106221874881e-01     1.076784309581335e+00
   -7.788387961185202e-01     1.076657367267025e+00
   -7.954330056096011e-01     1.076528361864352e+00
   -8.122963484030030e-01     1.076397269545968e+00
   -8.294319486891626e-01     1.076264066287183e+00
   -8.468429574025210e-01     1.076128727863877e+00
   -8.645325525233351e-01     1.075991229850379e+00
   -8.825039393855512e-01     1.075851547617292e+00
   -9.007603509908531e-01     1.075709656329284e+00
   -9.193050483290216e-01     1.075565530942835e+00
   -9.381413207047372e-01     1.075419146203932e+00
   -9.572724860709103e-01     1.075270476645730e+00
   -9.767018913687125e-01     1.075119496586157e+00
   -9.964329128744240e-01     1.074966180125478e+00
   -1.016468956553238e+00     1.074810501143808e+00
   -1.036813458420145e+00     1.074652433298577e+00
   -1.057469884908055e+00     1.074491950021948e+00
   -1.078441733243310e+00     1.074329024518179e+00
   -1.099732531828701e+00     1.074163629760936e+00
   -1.121345840634189e+00     1.073995738490555e+00
   -1.143285251595439e+00     1.073825323211248e+00
   -1.165554389020375e+00     1.073652356188253e+00
   -1.188156910003866e+00     1.073476809444932e+00
   -1.211096504850755e+00     1.073298654759808e+00
   -1.234376897507392e+00     1.073117863663548e+00
   -1.258001846001811e+00     1.072934407435879e+00
   -1.281975142892799e+00     1.072748257102456e+00
   -1.306300615727971e+00     1.072559383431654e+00
   -1.330982127511093e+00     1.072367756931308e+00
   -1.356023577178814e+00     1.072173347845386e+00
   -1.381428900087008e+00     1.071976126150590e+00
   -1.407202068506987e+00     1.071776061552901e+00
   -1.433347092131658e+00     1.071573123484047e+00
   -1.459868018592016e+00     1.071367281097905e+00
   -1.486768933984046e+00     1.071158503266832e+00
   -1.514053963406334e+00     1.070946758577923e+00
   -1.541727271508590e+00     1.070732015329193e+00
   -1.569793063051328e+00     1.070514241525687e+00
   -1.598255583476951e+00     1.070293404875512e+00
   -1.627119119492494e+00     1.070069472785785e+00
   -1.656387999664237e+00     1.069842412358511e+00
   -1.686066595024519e+00     1.069612190386366e+00
   -1.716159319690965e+00     1.069378773348406e+00
   -1.746670631498428e+00     1.069142127405689e+00
   -1.777605032643953e+00     1.068902218396802e+00
   -1.808967070344951e+00     1.068659011833309e+00
   -1.840761337511053e+00     1.068412472895100e+00
   -1.872992473429785e+00     1.068162566425649e+00
   -1.905665164466482e+00     1.067909256927178e+00
   -1.938784144778694e+00     1.067652508555722e+00
   -1.972354197045509e+00     1.067392285116093e+00
   -2.006380153212013e+00     1.067128550056750e+00
   -2.040866895249372e+00     1.066861266464549e+00
   -2.075819355930739e+00     1.066590397059405e+00
   -2.111242519623546e+00     1.066315904188834e+00
   -2.147141423098363e+00     1.066037749822385e+00
   -2.183521156354868e+00     1.065755895545961e+00
   -2.220386863465249e+00     1.065470302556023e+00
   -2.257743743435506e+00     1.065180931653676e+00
   -2.295597051084980e+00     1.064887743238627e+00
   -2.333952097944679e+00     1.064590697303031e+00
   -2.372814253174726e+00     1.064289753425195e+00
   -2.412188944501521e+00     1.063984870763164e+00
   -2.452081659174917e+00     1.063676008048168e+00
   -2.492497944946080e+00     1.063363123577932e+00
   -2.533443411066430e+00     1.063046175209852e+00
   -2.574923729308196e+00     1.062725120354017e+00
   -2.616944635007124e+00     1.062399915966099e+00
   -2.659511928127901e+00     1.062070518540085e+00
   -2.702631474352836e+00     1.061736884100855e+00
   -2.746309206194423e+00     1.061398968196606e+00
   -2.790551124132273e+00     1.061056725891116e+00
   -2.835363297775184e+00     1.060710111755842e+00
   -2.880751867048850e+00     1.060359079861849e+00
   -2.926723043409961e+00     1.060003583771566e+00
   -2.973283111087305e+00     1.059643576530368e+00
   -3.020438428350553e+00     1.059279010657977e+00
   -3.068195428807500e+00     1.058909838139670e+00
   -3.116560622730459e+00     1.058536010417306e+00
   -3.165540598412631e+00     1.058157478380154e+00
   -3.215142023555021e+00     1.057774192355520e+00
   -3.265371646685039e+00     1.057386102099173e+00
   -3.316236298607336e+00     1.056993156785553e+00
   -3.367742893887833e+00     1.056595304997775e+00
   -3.419898432371861e+00     1.056192494717405e+00
   -3.472710000737297e+00     1.055784673314006e+00
   -3.526184774083537e+00     1.055371787534461e+00
   -3.580330017557492e+00     1.054953783492052e+00
   -3.635153088017410e+00     1.054530606655294e+00
   -3.690661435735569e+00     1.054102201836520e+00
   -3.746862606141123e+00     1.053668513180211e+00
   -3.803764241603838e+00     1.053229484151051e+00
   -3.861374083260273e+00     1.052785057521727e+00
   -3.919699972883156e+00     1.052335175360439e+00
   -3.978749854795526e+00     1.051879779018125e+00
   -4.038531777830658e+00     1.051418809115395e+00
   -4.099053897339185e+00     1.050952205529168e+00
   -4.160324477244675e+00     1.050479907378990e+00
   -4.222351892149086e+00     1.050001853013036e+00
   -4.285144629489576e+00     1.049517979993797e+00
   -4.348711291747952e+00     1.049028225083412e+00
   -4.413060598714548e+00     1.048532524228671e+00
   -4.478201389807941e+00     1.048030812545656e+00
   -4.544142626452032e+00     1.047523024304020e+00
   -4.610893394512578e+00     1.047009092910889e+00
   -4.678462906794353e+00     1.046488950894382e+00
   -4.746860505601244e+00     1.045962529886730e+00
   -4.816095665360862e+00     1.045429760606996e+00
   -4.886177995315728e+00     1.044890572843369e+00
   -4.957117242282920e+00     1.044344895435027e+00
   -5.028923293484390e+00     1.043792656253559e+00
   -5.101606179449989e+00     1.043233782183935e+00
   -5.175176076995472e+00     1.042668199104997e+00
   -5.249643312277722e+00     1.042095831869472e+00
   -5.325018363929728e+00     1.041516604283488e+00
   -5.401311866277599e+00     1.040930439085579e+00
   -5.478534612642208e+00     1.040337257925156e+00
   -5.556697558728326e+00     1.039736981340440e+00
   -5.635811826103674e+00     1.039129528735836e+00
   -5.715888705771064e+00     1.038514818358728e+00
   -5.796939661836336e+00     1.037892767275681e+00
   -5.878976335275220e+00     1.037263291348030e+00
   -5.962010547802485e+00     1.036626305206837e+00
   -6.046054305846483e+00     1.035981722227203e+00
   -6.131119804632524e+00     1.035329454501904e+00
   -6.217219432378778e+00     1.034669412814338e+00
   -6.304365774608361e+00     1.034001506610756e+00
   -6.392571618581216e+00     1.033325643971760e+00
   -6.481849957850268e+00     1.032641731583045e+00
   -6.572213996945461e+00     1.031949674705352e+00
   -6.663677156190392e+00     1.031249377143611e+00
   -6.756253076655787e+00     1.030540741215263e+00
   -6.849955625254583e+00     1.029823667717704e+00
   -6.944798899983406e+00     1.029098055894852e+00
   -7.040797235315571e+00     1.028363803402788e+00
   -7.137965207750748e+00     1.027620806274455e+00
