================================================================
         omega_k [cm^-1]          g_k [cm^-1]               
    8.088174148214894e+01     6.305030096018397e+00
    7.353571567763434e+01     6.390353694843093e+00
    6.685631161620474e+01     6.440701630868891e+00
    6.078313735608846e+01     6.458562195156362e+00
    5.526125420991421e+01     6.446676321552348e+00
    5.024068751140228e+01     6.407923780308507e+00
    4.567598070221760e+01     6.345228612851501e+00
    4.152578900655737e+01     6.261483115637319e+00
    3.775250926365410e+01     6.159488920265386e+00
    3.432194276998401e+01     6.041913276444977e+00
    3.120298824436266e+01     5.911258447962793e+00
    2.836736227117519e+01     5.769842111555135e+00
    2.578934480069841e+01     5.619786747543120e+00
    2.344554749184089e+01     5.463016183843735e+00
    2.131470287269795e+01     5.301257667014697e+00
    1.937747246912650e+01     5.136048060319135e+00
    1.761627221211711e+01     4.968742992229132e+00
    1.601511358207236e+01     4.800527988316442e+00
    1.455945908315195e+01     4.632430808755398e+00
    1.323609076453133e+01     4.465334379716870e+00
    1.203299061861184e+01     4.299989849127351e+00
    1.093923178973685e+01     4.137029416499780e+00
    9.944879621577638e+00     3.976978684624929e+00
    9.040901657777221e+00     3.820268360141147e+00
    8.219085789347304e+00     3.667245192847883e+00
    7.471965814327751e+00     3.518182092542485e+00
    6.792753740915500e+00     3.373287399437994e+00
    6.175278225183909e+00     3.232713311940421e+00
    5.613928589137113e+00     3.096563495556208e+00
    5.103603914629401e+00     2.964899910536699e+00
    4.639666754045199e+00     2.837748904875494e+00
    4.217901039963321e+00     2.715106624559609e+00
    3.834473813671797e+00     2.596943795442343e+00
    3.485900426679291e+00     2.483209931483548e+00
    3.169012900581014e+00     2.373837022976825e+00
    2.880931159051692e+00     2.268742756210964e+00
    2.619036871602634e+00     2.167833313151992e+00
    2.380949672280481e+00     2.071005796455702e+00
    2.164505537908074e+00     1.978150321633958e+00
    1.967737129961937e+00     1.889151814653092e+00
    1.788855921917859e+00     1.803891549748565e+00
    1.626235950033420e+00     1.722248458872571e+00
    1.478399040216914e+00     1.644100241000837e+00
    1.344001376986848e+00     1.569324296542316e+00
    1.221821292673888e+00     1.497798509336943e+00
    1.110748166066424e+00     1.429401896197840e+00
    1.009772329750493e+00     1.364015141653116e+00
    9.179758945348774e-01     1.301521033460828e+00
    8.345244076645846e-01     1.241804812598446e+00
    7.586592690853835e-01     1.184754449751038e+00
    6.896908368966016e-01     1.130260858826820e+00
    6.269921593807607e-01     1.078218056699069e+00
    5.699932766832918e-01     1.028523277195347e+00
    5.181760403846822e-01     9.810770463138347e-01
    4.710694039076586e-01     9.357832247289087e-01
    4.282451409758306e-01     8.925490228408637e-01
    3.893139532262369e-01     8.512849929162877e-01
    3.539219316115569e-01     8.119050022448416e-01
    3.217473394403542e-01     7.743261906954374e-01
    2.924976878246793e-01     7.384689155808053e-01
    2.659070769601005e-01     7.042566863262665e-01
    2.417337790778220e-01     6.716160910788409e-01
    2.197580411038607e-01     6.404767170801599e-01
    1.997800870561784e-01     6.107710663552330e-01
    1.816183020252959e-01     5.824344680338412e-01
    1.651075812337137e-01     5.554049884176661e-01
